,name,Likes,tags,quote
10,Ralph Waldo Emerson,75 likes,"authors,books,writing",“Books are for nothing but to inspire”
11,Joe Hill,72 likes,"authors,characters,loss-of-faith,love,women","“I see God now as an unimaginative writer of popular fictions, someone who builds stories around sadistic and graceless plots, narratives that exist only to express His terror of a woman's power to choose who and how to love, to redefine love as she sees fit, not as God thinks it ought to be. The author is unworthy of His own characters.”"
12,John Steinbeck,66 likes,"authors,writing","“As with many people, Charles, who could not talk, wrote with fullness. He set down his loneliness and his perplexities, and he put on paper many things he did not know about himself.”"
13,Benjamin Disraeli,66 likes,"authors,books,novels,reading","“When I want to read a novel, I write one.”"
14,Ralph Waldo Emerson,66 likes,"authors,emerson,kara-skye-smith,poems,poetry,quotes",“Love what is simple and beautiful.
15,Italo Calvino,56 likes,"authors,truth","“It's better not to know authors personally, because the real person never corresponds to the image you form of him from reading his books.”"
16,Charlotte Eriksson,51 likes,"anxiety,authors,body,books,charlotte-eriksson,feeling-pretty,health,home,learn,life-advice","“No one will come and save you. No one will come riding on a white horse and take all your worries away. You have to save yourself, little by little, day by day. Build yourself a home. Take care of your body. Find something to work on. Something that makes you excited, something you want to learn. Get yourself some books and learn them by heart. Get to know the author, where he grew up, what books he read himself. Take yourself out for dinner. Dress up for no one but you and simply feel nice. it’s a lovely feeling, to feel pretty. You don’t need anyone to confirm it.”"
17,Virginia Woolf,50 likes,"advice,authors,readers,writing","“Let us record the atoms as they fall upon the mind in the order in which they fall, let us trace the pattern, however disconnected and incoherent in appearance, which each sight or incident scores upon the consciousness. Let us not take it for granted that life exists more fully in what is commonly thought big than in what is commonly thought small.”"
18,Terry Pratchett,49 likes,"authors,mainstream-lit,science-fiction,sf,writers,writing",“[Science fiction is] out in the mainstream now. You can tell by the way mainstream literary authors pillage SF while denying they're writing it!”
19,Sanober Khan,46 likes,"authors,depth,emotions,feelings,indian-authors,poetry,poetry-quotes,poets,profound,words",“i would rather have
20,Junot Diaz,44 likes,"authors,novels,short-stories,writers,writing","“We all dream dreams of unity, of purity; we all dream that there's an authoritative voice out there that will explain things, including ourselves. If it wasn't for our longing for these things, I doubt the novel or the short story would exist in its current form. I'm not going to say much more on the topic. Just remember: In dictatorships, only one person is really allowed to speak. And when I write a book or a story, I too am the only one speaking, no matter how I hide behind my characters.”"
21,William Faulkner,40 likes,"authors,insults","“He has never been known to use a word that might send a reader to the dictionary."""
22,Shannon L. Alder,39 likes,"adversity,authors,avoiding,battles,choices,communicate,decisions,freethinkers,holding-back,ignoring,lack-of-communication,lessons-in-life,lessons-of-life,not-listening,not-trusting,novels,openess,overlooking,sharing,silence,tests,trials,trust,tsloama,vulnerability,wisdom,writers",“If there was any great lesson in life it was this: No battle was ever won with silence.”
23,E.B. White,37 likes,"authors,humor,writers,writers-on-writing,writing,writing-life","“There is nothing harder to estimate than a writer's time, nothing harder to keep track of. There are moments—moments of sustained creation—when his time is fairly valuable; and there are hours and hours when a writer's time isn't worth the paper he is not writing anything on.”"
24,Agatha Christie,31 likes,"author,authors,mystery,social-life,whodunnit","“Authors were shy, unsociable creatures, atoning for their lack of social aptitude by inventing their own companions and conversations.”"
25,Kevin Ansbro,28 likes,"authors,writers","“Sadly, there are writers who wouldn't know an umlaut from an omelet.”"
26,W. Somerset Maugham,27 likes,"americans,authors,british,humor","“The Americans, who are the most efficient people on the earth, have carried [phrase-making] to such a height of perfection and have invented so wide a range of pithy and hackneyed phrases that they can carry on an amusing and animated conversation without giving a moment’s reflection to what they are saying and so leave their minds free to consider the more important matters of big business and fornication.”"
27,Oliver Markus,26 likes,"annoying,annoying-people,author,authoress,authors,discrimination,facebook,facebook-quotes,feminism,feminist,fifty-shades,fifty-shades-of-grey,fifty-shades-of-grey-humor,funny,funny-quotes,gender-discrimination,grey,humor,humorous-quotes,originality,person,political-correctness,politically-correct,politically-correct-culture,retarded,sexism,sheeple,stupid-people,stupidity,unoriginal,writer,writers,writers-on-writing","“If you call yourself an ""authoress"" on your Facebook profile, you suck at life. You are stupid and your children are ugly. It doesn't matter if you're just trying to be cute and original. You're not. You are about as original as all those other witless twits ""writing"" the one millionth shitty Fifty Shades clone. Or maybe you're trying to show your 2000 fake Facebook ""friends"" that you are an empowered feminist who will not stand for sexist terminology. But you're not showing people that you are fighting the good fight, you're showing people that you are a sheep, who's trying just a little too hard to ride the current wave of idiotic political correctness. The word ""author"" is no more gender-discrimination than the word ""person."" Do you call yourself a personess? No, of course not, because then you might as well wear a sign around your neck that says, ""Hello, I'm a retard.”"
28,Stephen King,19 likes,"authors,novelists,truth,writing","“...he was after all, a novelist...and a novelist was simply a fellow who got paid to tell lies. The bigger the lies, the better the pay.”"
29,Mokokoma Mokhonoana,17 likes,"authors,children,illeteracy,kids,literacy,read,sex,sex-positions,writers","“A hundred years ago, an average teenager knew countless authors, and, a sex position or two. Today, an average teenager knows countless sex positions, and, an author or two.”"
30,Oprah Winfrey,84 likes,"attitude,authors,best-quote-ever,book-clubs,books,bookstores,encouragement,face-book-quotes,inspirational-quotes,kerry-e-wagner,oprah-winfrey-favorite-quote,perspectives,quotes,steve-harvey,twitter-quotes,tyler-perry",“Opportunity may knock only once but temptation leans on the door bell”
31,Shannon L. Alder,69 likes,"analogies,anger,angry-men,annoy,authors,bitter-people,characters,conflict,cruel-people,drama,enemies,examples,fake-christians,fiction-characters,fights,friends,irritation,jealous-women,life-events,made-an-example,memories,plots,stalkers,stories,villians,writers,writing",“Never annoy an inspirational author or you will become the poison in her pen and the villian in every one of her books.”
32,David Gerrold,42 likes,"authors,the-martian-child,writers,writing,writing-life","“To say that a writer's hold on reality is tenuous is an understatement-it's like saying the Titanic had a rough crossing. Writer's build their own realities, move into them and occasionally send letters home. The only difference between a writer and a crazy person is that a writer gets paid for it.”"
33,William Goldman,42 likes,"admiration,authors,funny,high-expectations,narrative,princess-bride,william-goldman",“The Princess Bride
34,Roman Payne,40 likes,"admiration,authors,brides,desire,funny,humor,humour,marriage,payne,roman,weddings,writers",“The lot of the bride
35,Miguel Serrano,39 likes,"authors,books","“As with men, it has always seemed to me that books have their own peculiar destinies. They go towards the people who are waiting for them and reach them at the right moment. They are made of living material and continue to cast light through the darkness long after the death of their authors.”"
36,Justin Alcala,39 likes,"authors,imagination,non-fiction,reality","“Non fiction? Non fiction?! Listen, reality is what got me into this mess in the first place.”"
37,A.D. Posey,39 likes,"authors,awareness,breath,energy,energy-healing,happiness,inspiration,light,ocean,peace,poetry,sand,screenwriters,soul,spirituality,the-beach,truth,women-wisdom,writers-life",“Sand lines my soul which is filled with the breath of the ocean.”
38,Edward Albee,38 likes,"authors,on-writing,writers","“Good writers define reality; bad ones merely restate it. A good writer turns fact into truth; a bad writer will, more often than not, accomplish the opposite.”"
39,Jennifer Salaiz,33 likes,"authors,schizophrenics,voices,writers",“Writers are nothing more than borderline schizophrenics who are able to control the voices.”
40,Eudora Welty,32 likes,"authors,writing","“It had been startling and disappointing to me to find out that story books had been written by people, that books were not natural wonders, coming up of themselves like grass.”"
41,Maureen Johnson,30 likes,"agatha-christie,arthur-conan-doyle,authors","“Did they know that Arthur Conan Doyle went on to investigate mysteries in his real life and absolved a man for a crime for which he has been convicted? Did they know how Agatha Christie brilliantly staged her own disappearance in order to exact an elegant revenge on a cheating husband? They probably did not. And no one was going to discount Stevie Bell, who had gotten into this school on the wings of her interest in the Ellingham case, and who had been a bystander at a death that was now looking more and more suspicious.”"
42,Mary McCarthy,27 likes,"authors,insults,lies","“Every word she writes is a lie, including ‘and’ and ‘the’."""
43,Salman Rushdie ,24 likes,"authors,books,books-and-authors,books-and-reading,metamorphosis,perception,published-books,publishing,reading,writing","“When a book leaves its author's desk it changes. Even before anyone has read it, before eyes other than its creator's have looked upon a single phrase, it is irretrievably altered. It has become"
44,Red Haircrow,21 likes,"authors,creative-process,writers,writers-on-writing,writing",“I write to believe in goodness.”
45,Dodie Smith,18 likes,"authors,books","“Certain unique books seem to be without forerunners or successors as far as their authors are concerned. Even though they may profoundly influence the work of other writers, for their creator they're complete, not leading anywhere.”"
46,Germany Kent,18 likes,"add-value,authors,be-social,bloggers,blogging,brand-image,building,change,change-agent,communication,content,content-curators,content-is-key,creative,digital,digital-age,digital-footprint,digital-marketing,digital-strategy,digital-transformation,digital-trends,dreams,focus,germany-kent,germany-kent-quote,germany-kent-quotes,global-impact,higher-ed,higher-education,impact,increase-engagement,influencers,innovation,inspiration,internet,internet-marketing,lead-generation,logistics,marketing,marketing-strategy,marketing-tips,media,motivational-speakers,network-marketers,networking,online,online-branding,online-promotion,online-visibility,passion,personal-branding,positivity,power-of-twitter,progress,resource,resourceful,self-help-authors,seo,smart,social,social-behavior,social-change,social-content,social-correct,social-impact,social-media,social-media-advice,social-media-audiences,social-media-authors,social-media-behavior,social-media-branding,social-media-experts,social-media-for-authors,social-media-influencers,social-media-marketing,social-media-tips,social-networking,social-selling,storytellers,strategy,success,success-tips,successful,tech-for-good,think-before-you-post,thought-leaders,thought-provoking,twitter,twitter-addiction,twitter-advice,twitter-audiences,twitter-mind,twitter-nation,twitter-quote,twitter-quotes,twitter-tips,vision,what-you-tweet,will,you-are-what-you-post,you-are-what-you-tweet",“5 Ways To Build Your Brand on Social Media:
47,Julian Barnes,17 likes,"authors,limitations,writers,writing","“The writer has little control over personal temperament, none over historical moment, and is only partly in charge of his or her own aesthetic.”"
48,Benny Bellamacina,14 likes,"authors,life,philosophical,poetry,poets,wisdom","“The life we’re given is on a thread, so wear it well.”"
49,Rukhsana Khan,12 likes,"authors,inspirational,writing",“I have a pesky little critic in the back of my mind. He's a permanent fixture and passes judgment on everything I write.
50,Neil Gaiman,12 likes,"authors,constructive-criticism,negative-reviews","“I suspect that most authors don't really want criticism, not even constructive criticism. They want straight-out, unabashed, unashamed, fulsome, informed, naked praise, arriving by the shipload every fifteen minutes or so.”"
51,William Saroyan,12 likes,"authors,writers,writing","“The writer is a spiritual anarchist, as in the depth of his soul every man is. He is discontented with everything and everybody. The writer is everybody's best friend and only true enemy — the good and great enemy. He neither walks with the multitude nor cheers with them. The writer who is a writer is a rebel who never stops.”"
52,Meagan Spooner,11 likes,"authors,humor,inspirational,writer-s-block,writers,writing",“Writer's block' is just a fancy way of saying 'I don't feel like doing any work today.”
53,Wodehouse,10 likes,"authors,humor,writing","“My Aunt Dahlia, who runs a woman's paper called Milady's Boudoir, had recently backed me into a corner and made me promise to write her a few words for her ""Husbands and Brothers"" page on ""What the Well-Dressed Man is Wearing"". I believe in encouraging aunts, when deserving; and, as there are many worse eggs than her knocking about the metrop, I had consented blithely. But I give you my honest word that if I had had the foggiest notion of what I was letting myself in for, not even a nephew's devotion would have kept me from giving her the raspberry. A deuce of a job it had been, taxing the physique to the utmost. I don't wonder now that all these author blokes have bald heads and faces like birds who have suffered.”"
54,Imam al-Ghazali,9 likes,"authors,writers,writing","“Hendaklah tukang-tukang cerita waspada terhadap hal-hal bohong dan hikayat-hikayat yang menyajikan perbuatan salah, atau yang tujuan baiknya tidak dapat difahamkan oleh umum. Atau, cerita itu merupakan satu pertarungan antara yang baik dengan buruk, lalu yang buruk mendapat pembelaan yang berlebihan sebelum dikalahkan oleh yang baik. Tanpa disedari, hal ini memberanikan orang berbuat dosa (Ihya' Ulumuddin).”"
55,Jack McClelland,9 likes,"authors,awards,humor,judging,publishers,publishing,writing","“I would not employ an author to referee a Ping-Pong match. By their very nature they are biased and bloody-minded. Better put a fox in a henhouse than to ask an author to judge his peers. (in a letter to the Governor General about the GA's Literary Awards & his issue--among others--with the judging system, 1981)”"
56,Love The Stacks Bookstore,9 likes,"authors,books,reading",“Authors: The only people you thank for leaving you emotionally devastated.”
57,Kate Morton,7 likes,"authors,history,mystery,writing","“It'll be a change,"" says Marcus. ""Something different."""
58,Israelmore Ayivor,6 likes,"authors,books,champagne,food,israelmore-ayivor,pie,publishing,reading,writers,writing","“You may receive a pie, eat it and forget. You may receive champagne, drink it and forget. But when you receive a book, you can open it again and again.”"
59,John Grisham,6 likes,"authors,camino-island,faulkner,fitzgerald,hemingway,john-grisham,old-dead-white-men,reading","“Do you read them? Faulkner, Hemingway, Fitzgerald?"""
60,Dan Brown,75 likes,"authors,on-writing,writers","“Authors, he thought. Even the sane ones are nuts.”"
61,Christopher Hopper,39 likes,"authors,computer-science,strangeness,weirdness,writing-process","“Well, writing novels is incredibly simple: an author sits down…and writes."
62,John Green,26 likes,"authors,authorship,books,e-books,editors,publishing,value","“In the end, what makes a book valuable is not the paper it’s printed on, but the thousands of hours of work by dozens of people who are dedicated to creating the best possible reading experience for you.”"
63,John Lanchester,23 likes,"authors,humir,writing",“The standard personality type for a writer is a shy megalomaniac.”
64,Gabrielle Zevin,18 likes,"authors,humorous","“Despite the fact that he loves books and owns a bookstore, A.J. does not particularly care for writers. He finds them to be unkempt, narcissistic, silly, and generally unpleasant people. He tries to avoid the ones who've written books he loves for fear that they will ruin their books for him.”"
65,Linda F. Radke,17 likes,"authors,books,publish,publishing,write","“Write from the heart. A book without a pulse is like a person without a spirit."" Linda Radke, President of Five Star Publications”"
66,Philip Larkin,16 likes,"authors,letters,letters-to-monica,philip-larkin,poems,poet,poetry,writing",“There is bad in all good authors: what a pity the converse isn't true!”
67,P.D. James,14 likes,"authors,romance-novels,writing","“All Jane Austen novels have a common storyline: an attractive and virtuous young woman surmounts difficulties to achieve marriage to the man of her choice. This is the age-long convention of the romantic novel, but with Jane Austen, what we have is Mills & Boon written by a genius.”"
68,Ralph Waldo Emerson,13 likes,"artists,authors,creativity,imagination",“Bare lists of words are found suggestive to an imaginative and excited mind.”
69,Pamela Glass Kelly,12 likes,"authors,children,inspiration,publication,readers,writer",“We as authors sign a pact with our readers; they'll go on reading because they trust us to play fair with them and deliver what we've promised.”
70,Dan Brown,12 likes,"authors,book-publishing",“Book publishing would be so much easier without the authors.”
71,Chloe Thurlow,12 likes,"authors,writing,writing-guide",“Between the lines of every book the writer reveals their own secrets.”
72,Doris Lessing,11 likes,"authors,writing","“I don't know much about creative writing programs. But they're not telling the truth if they don't teach, one, that writing is hard work, and, two, that you have to give up a great deal of life, your personal life, to be a writer.”"
73,Andrew Clements,11 likes,"authors,musicality","“And I love Jane Austen's use of language too--the way she takes her time to develop a phrase and gives it room to grow, so that these clever, complex statements form slowly and then bloom in my mind. Beethoven does the same thing with his cadence and phrasing and structure. It's a fact: Jane Austen is musical. And so's Yeats. And Wordsworth. All the great writers are musical.”"
74,Shannon Alder,10 likes,"authors,fiction,writers,writing",“Writing romantic fiction is the second chance that loved ones denied us.”
75,Virginia Woolf,9 likes,"authors,love-of-books,reading","“What one means by integrity, in the case of the novelist, is the conviction that he gives one that this is the truth. . . . When one so exposes it [integrity] and sees it come to life one exclaims in rapture, But this is what I have always felt and known and desired! And one boils over with excitement, and, shutting the book even with a kind of reverence as if it were something very precious, a stand-by to return to as long as one lives, one puts it back on the shelf.”"
76,L.A. Dale,8 likes,"authors,la-dale,romance",“Fill your paper with the breathings of your heart. ~William Wordsworth
77,Kim Edwards,8 likes,"authors,books,imagination","“Rows and rows of books lined the shelves and I let my eyes linger on the sturdy spines, thinking how human books were, so full of ideas and images, worlds imagined, worlds perceived; full of fingerprints and sudden laughter and the sighs of readers, too. It was humbling to consider all these authors, struggling with this word or that phrase, recording their thoughts for people they'd never meet. In that same way, the detritus of the boxes was humbling - receipts, jotted notes, photos with no inscriptions, all of it once held together by the fabric of lives now finished, gone.”"
78,Santosh Avvannavar,8 likes,"authors,first-book,humor,witty",“True Devdas are Authors”
79,Graham Greene,7 likes,"authors,books,doctor-fischer-of-geneva,graham-greene,love","“I doubt if ever one ceases to love, but one can cease to be in love as easily as one can outgrow an author one admired as a boy.”"
80,Jorge Luis Borges,6 likes,"art,authors,books,intentions,writing",“In art nothing is more secondary than the author's intentions.”
81,Herman Koch,6 likes,"authors,english,reading,separating-art-from-artist","“A reader reads a book. If it’s a good book, he forgets himself. That’s all a book has to do. When the reader can’t forget himself and keeps having to think about the writer the whole time, the book is a failure. That has nothing to do with fun. If it’s fun you’re after, buy a ticket for a roller coaster.”"
82,Philip L. Moore,5 likes,"authors,books,reading,writers","“If you can read & write then the opportunities are endless, if you just believe in yourself then anything is possible, you can become anyone and do anything, what’s more is, you can take others with you!”"
83,Terena Scott,5 likes,"advice-to-beginners,authors","“If you are working with authors, you are accepting a great responsibility and must tread very carefully. The author's work is a part of herself, a creative endeavor she has poured her heart and soul into. Protecting and nurturing that work and the author is part of the job of a publisher.”"
84,Jessica Swan,5 likes,authors,"“You can, of course, write to inspire others… but most importantly, you must write to inspire yourself.”"
85,Nadine C. Keels,5 likes,"artists,authors,creativity,inspiration,writers","“Writers and artists know that ethereal moment, when just one, fleeting something--a chill, an echo, the click of a lamp, a question—-ignites the flame of an entire work that blazes suddenly into consciousness.”"
86,Mary Lascelles,4 likes,"authors,social-world,storytelling,writers","“When many story-tellers occupy themselves with a social world which offers no great variety of lively action, their stories will probably resemble one another as to many of the major incidents, and if they draw on these limited resources like spend thrifts such resemblances will be inevitable--and therefore not significant.”"
87,J.V. Cunningham,4 likes,"authors,writers,writing",“The finder of his theme will be at no loss for words.”
88,E.A. Bucchianeri,4 likes,"authors,company-names,copyright,creative-process,culture,culture-identity,culture-making,disclaimer,free-advertising,free-plug,funny,gadfly,household-name,humor,humour,jingle,logo,logos,mottos,trademarks,writing","“All trademarks, company names, registered names, products, characters, mottos, logos, jingles and catchphrases used or cited in this work are the property of their respective owners and have only been mentioned and or used as cultural references to enhance the narrative and in no way were used to disparage or harm the owners and their companies. It is the author's sincerest wish the owners of the cited trademarks, company names, etc. appreciate the success they have achieved in making their products household names and appreciate the free plug.”"
89,Kevin Ansbro,3 likes,"author-quotes,authors,books,literature-quotes,readers,readers-life,reading,reading-books,reading-motivation,reading-quotes",“The very best authors are no longer with us; so only read books written by dead people.”
90,Stacia Kane,20 likes,"authors,reviewers,reviews","“Authors, reviews are not for you. They are not for you. Authors, reviews are not for you.”"
91,Elizabeth Sims,15 likes,"authors,books,writing,writing-craft",“... And the only way to find that honesty is to not overthink it.
92,Jaron Lanier,13 likes,"author,authors,bible,book,books,digitization,mashups,writer,writers","“The approach to digital culture I abhor would indeed turn all the world's books into one book, just as Kevin (Kelly) suggested. It might start to happen in the next decade or so. Google and other companies are scanning library books into the cloud in a massive Manhattan Project of cultural digitization. What happens next is what's important. If the books in the cloud are accessed via user interfaces that encourage mashups of fragments that obscure the context and authorship of each fragment, there will be only one book. This is what happens today with a lot of content; often you don't know where a quoted fragment from a news story came from, who wrote a comment, or who shot a video. A continuation of the present trend will make us like various medieval religious empires, or like North Korea, a society with a single book."
93,Libba Bray,11 likes,"authors,editing,revision,writing","“I am hard at work on the second draft ... Second draft is really a misnomer as there are a gazillion revisions, large and small, that go into the writing of a book.”"
94,Julie Ann Dawson,10 likes,"authors,writer-s-block,writing","“I've always said ""Writer's Block"" is a myth. There is no such thing as writer's block, only writers trying to force something that isn't ready yet. Sometimes I don't write for weeks. And then all of the sudden I'll get a rush of inspiration and you can't drag me away from my notebook. But I don't stress out if I don't hit some arbitrary word count each day or if I go a few days without writing something.”"
95,Charles de Lint,9 likes,"authors,book-genres,books,fantasy,influences,reading,recommendations,sci-fi,science-fiction,sf","“Having to amuse myself during those earlier years, I read voraciously and widely. Mythic matter and folklore made up much of that reading—retellings of the old stories ("
96,Jo Linsdell,9 likes,"authors,book-marketing,books,writers",“There's no such thing as 'no market'. Some books are just niche orientated that's all.”
97,Arthur Miller,8 likes,"apocalypse,authors","“On the day the world is blown up, the playwright whose show opened the night before will be leafing past the news section of the"
98,Jaron Lanier,7 likes,"authors,printing-press,writers","“What these critics forget is that printing presses in themselves provide no guarantee of an enlightened outcome. People, not machines, made the Renaissance. The printing that takes place in North Korea today, for instance, is nothing more than propaganda for a personality cult. What is important about printing presses is not the mechanism, but the authors.”"
99,Mary O'Hara,7 likes,"authors,stories,writers,writers-on-writing,writing",“Sooner or later every writer evolves his own definition of a story.
100,George Bernard Shaw,6 likes,"agents,authors,business,contracts,publishers,publishing",“An author who gives a manager or publisher any rights in his work except those immediately and specifically required for its publication or performance is for business purposes an imbecile.”
101,Jeff Phillips,5 likes,"apocalypse,authors,books,conspiracy,dubai,dystopia,dystopian-fiction,economic-collapse,economics,end-of-the-world,espionage,future,maine,politics,satire,small-press,spy-thriller,writers,writing","“Their conversation ceased abruptly with the entry of an oddly-shaped man whose body resembled a certain vegetable. He was a thickset fellow with calloused and jaundiced skin and a patch of brown hair, a frizzy upheaval. We will call him Bell Pepper. Bell Pepper sidled up beside The Drippy Man and looked at the grilled cheese in his hand. The Drippy Man, a bit uncomfortable at the heaviness of the gaze, politely apologized and asked Bell Pepper if he would like one."
102,Mariam Kobras,5 likes,"authors,dreams,novels,poetry,publishing,writing","“‎""It almost felt like the dolphin of my heart’s desire playing in the ocean of my life."" - on writing”"
103,David A. Santos,4 likes,"authors,book-selling",“Being a bestseller doesnt mean they wrote a great book. Just means they knew a lot of people who would buy it.”
104,Charbel Tadros,4 likes,"authors,books,immortality,novels,stories,superpowers,writers","“Thus far, the only people who can grant you immortality are not scientists, but writers. By writing you into their books, they may not only immortalize you, but also grant you superpowers.”"
105,Sterling Lord,3 likes,"authors,publishing",“An author’s strong belief and enthusiasm will affect the writing of the book and often the publisher’s commitment to it.”
106,Mary Karr,3 likes,"authors,authors-behaving-badly,authors-on-authors,feet-of-clay,heroes,imperfection,literature","“If we didn't read people who were bastards, we'd never read anything. Even the best of us are at least part-time bastards.”"
107,Carmen Johnson,2 likes,"authors,day-one,poetry,reading,writers","“How are you supposed to know what to read next? This is the question that keeps us up at night, so at Day One our mission is to feed an audience of literature-hungry, time-constrained readers like you with a weekly lineup of talented authors, poets, and artists that we believe you will love. And if we can identify some of the next generation of literary stars, and cultivate an appreciation for transformative poetry and fiction, then frankly we will sleep better at night.”"
108,Robin Sacredfire,2 likes,"authors,books,writers",“Books can change the world. They represent a second chance for those that want to change their life and can’t.”
109,Adam Gopnik,1 likes,"authors,fantasy,literature,writers",“Big writers become a kind of shared climate.”
110,A.K. Kuykendall,1 likes,"authors,books,literature,reading,writer,writers-and-writing,writers-life,writers-quotes,writers-world,writing","“My fingers burn behind the keys of my typewriter, the lettering fading with every thoughtful strike. The many words I write I dare not stall; my mind perpetually alert for my magnum opus call.”"
111,Josephine Hart,1 likes,"authors,books,reading","“She's always loved writers, even more than the books I think. They're like personal friends to her.”"
112,Shannon L. Alder,1 likes,"authors,inspirational-writers,justice,narcissists,revenge,stupid-men,writers",“I was smarter than him because I had a pen and God was my writer.”
113,Shannon L. Alder,0 likes,"authors,bible,books,scriptures",“The person holding a pen influences the most.”
114,shannon l. alder,0 likes,"actions,authors,cause,consequences,effect,ripple-effects",“We are all authors of our life's story. Choose your word wisely because you never know who is reading it.”
115,Shannon L. Alder,0 likes,"advice,authors,bible,opinions,thinkers,writers","“Being an author is the most important job in the entire world. Without us you wouldn't know anything about God, Jesus or all the prophets that walked this earth. Without us you wouldn't know the purpose of life and how to behave or live. Without us you would be lost. Writing is what saves us all.”"
116,Shannon L. Alder,0 likes,"authors,bible,teachings,writers","“Being an author is the most important job in the entire world. Without us you wouldn't know anything about God, Jesus or all the prophets that walked this earth. Without us you wouldn't know the purpose of life and how to behave or live. Think about how much written things have shaped this world. Without us you would be lost. Writing is what saves us all.”"
117,Lorna Jackie Wilson,0 likes,"authors,gift,stories,writing","“For every author who holds the gift of writing, release the stories and bless the world!”"
